Ssession_ID,Description,Reviews,Pictures,Recommendations,Best_Sellers,Accessories,Price_Comparison,Click_Similar,Request_more_info,Click_phone_no,Purchase
101,1,1,0,1,0,1,1,1,0,1,1
102,1,0,0,1,1,1,1,1,1,0,1
103,0,1,0,0,0,1,1,1,0,1,1
104,0,1,1,1,0,0,0,1,1,1,0
105,0,0,0,1,0,1,0,1,1,1,1
106,0,1,1,0,1,0,0,1,1,1,0
107,0,0,1,0,0,0,1,0,1,0,0
108,1,0,0,0,0,1,0,1,0,0,0
109,0,1,0,1,0,1,0,1,0,0,1
110,0,0,0,0,1,1,0,0,1,0,1
111,0,1,1,0,1,0,1,1,1,0,0
112,1,1,1,0,0,1,1,0,0,0,0
113,1,1,0,1,1,0,0,1,0,1,1
114,0,1,0,1,0,0,0,1,1,0,0
115,0,0,1,0,0,0,0,0,0,1,1
116,0,0,1,1,0,0,0,0,0,1,0
117,1,1,1,1,0,0,1,0,1,1,0
118,1,1,0,1,0,1,1,1,1,0,1
119,0,0,0,1,1,0,1,1,1,1,0
120,1,1,0,1,1,0,1,1,0,0,1
121,1,0,0,0,0,0,1,1,1,0,1
122,1,1,0,1,0,1,1,1,0,1,0
123,0,0,0,1,1,0,1,1,1,1,0
124,1,0,0,0,0,0,1,1,1,0,1
125,1,0,0,1,1,0,0,0,1,0,0
126,1,0,1,1,1,0,0,1,1,1,0
127,0,0,0,1,0,1,0,1,1,1,0
128,0,1,0,1,0,1,0,0,1,0,0
129,0,1,1,0,1,1,1,1,0,0,0
130,0,0,1,0,1,0,0,0,0,0,0
131,1,1,0,1,0,1,1,0,0,1,0
132,1,1,0,0,0,1,1,0,0,1,1
133,0,0,0,0,0,0,0,1,0,0,0
134,1,0,1,1,0,1,1,0,1,0,1
135,1,0,0,0,0,1,0,1,0,1,0
136,0,0,1,0,1,0,0,0,0,1,1
137,1,1,0,1,1,0,0,1,0,1,1
138,0,0,1,1,0,1,1,0,1,0,0
139,1,0,1,1,0,0,1,1,0,1,0
140,1,0,1,1,1,0,0,0,0,0,0
141,1,1,1,1,0,0,1,0,1,1,1
142,1,0,1,1,0,1,1,0,1,0,1
143,1,1,1,1,0,1,0,0,0,0,0
144,1,0,0,0,1,0,1,1,0,1,1
145,0,1,0,1,0,1,0,0,1,0,0
146,1,0,1,0,0,1,1,0,0,1,0
147,1,0,0,1,1,0,0,1,1,0,0
148,1,1,0,1,1,0,0,1,0,1,1
149,0,0,0,1,1,1,0,1,0,0,0
150,0,1,1,1,1,0,0,0,0,1,1
151,0,1,0,0,1,1,1,1,0,1,1
152,0,1,1,1,0,0,0,1,1,1,1
153,0,1,0,0,0,1,1,1,0,1,1
154,1,0,1,1,0,0,0,1,0,0,0
155,0,0,1,1,0,1,0,1,0,0,0
156,1,1,1,0,0,1,0,0,1,1,1
157,0,1,1,0,1,0,1,1,1,0,1
158,1,0,0,0,0,0,1,0,1,1,1
159,0,1,1,0,0,1,0,1,1,0,1
160,1,1,0,1,0,1,1,0,1,0,1
161,1,0,0,1,0,1,0,1,1,1,0
162,0,1,1,1,1,0,1,1,0,1,1
163,1,0,0,1,0,0,0,0,1,0,0
164,0,1,0,0,0,1,1,0,0,1,0
165,0,1,1,1,1,0,0,0,0,0,1
166,0,1,1,1,0,1,1,1,0,0,1
167,1,0,1,1,0,1,0,1,1,1,0
168,1,1,1,0,1,1,0,0,0,0,0
169,1,0,1,1,1,0,0,0,0,0,0
170,0,1,1,0,0,1,0,1,1,0,1
171,0,0,1,1,0,1,1,1,1,0,1
172,0,1,1,1,1,0,0,0,0,0,1
173,1,1,1,0,0,1,1,0,0,0,1
174,1,0,1,0,0,1,1,0,1,1,1
175,1,1,1,1,0,0,1,1,0,0,1
176,0,1,0,0,0,0,1,0,0,1,1
177,0,1,0,0,1,0,0,0,1,0,1
178,0,1,1,0,1,0,0,1,0,0,0
179,1,0,1,1,1,0,0,1,1,1,0
180,1,1,0,1,0,1,0,0,1,0,1
181,0,1,1,1,1,0,0,0,0,0,1
182,0,1,1,1,0,0,0,1,1,0,1
183,0,1,1,0,1,0,0,1,1,0,1
184,0,0,1,0,1,0,0,1,1,0,0
185,1,1,0,1,0,1,0,0,1,0,1
186,0,1,0,1,0,1,0,1,0,0,1
187,0,0,0,1,0,0,1,0,1,0,1
188,0,0,0,0,1,1,0,0,1,0,1
189,0,1,1,0,0,1,0,1,0,0,0
190,0,1,0,1,0,1,0,1,0,0,1
191,0,1,1,0,1,0,1,1,1,0,1
192,0,1,1,0,1,1,1,1,0,1,0
193,0,1,1,0,1,0,0,1,0,1,0
194,1,0,0,1,1,0,0,1,1,0,1
195,1,1,0,1,0,1,1,0,0,1,1
196,1,1,1,0,1,0,0,1,1,1,1
197,0,1,1,1,1,0,1,1,0,1,1
198,1,0,1,0,1,0,1,0,1,1,1
199,0,0,1,0,1,1,0,1,0,1,1
200,1,1,1,1,1,1,0,1,1,1,1
201,1,1,0,1,1,0,0,1,1,1,1
202,0,1,1,0,0,1,0,1,0,0,0
203,0,0,0,1,1,1,0,1,0,0,0
204,1,1,0,1,0,1,0,0,1,0,1
205,0,0,1,0,1,1,0,0,1,0,1
206,0,1,0,1,1,0,0,0,0,1,1
207,0,1,0,0,0,0,1,0,0,1,1
208,1,0,1,0,0,0,1,1,0,0,1
209,0,1,0,1,0,1,0,0,1,0,0
210,1,0,0,0,1,0,1,1,0,1,1
211,0,1,1,0,0,1,1,1,1,0,1
212,0,0,1,1,0,0,0,0,0,1,0
213,0,0,1,1,0,1,0,1,0,0,0
214,1,1,0,1,0,1,1,0,0,1,1
215,0,1,1,0,1,0,1,1,1,0,1
216,0,0,0,0,0,1,1,1,1,0,0
217,1,0,0,1,1,0,0,0,1,0,0
218,1,0,0,1,1,0,0,1,0,0,1
219,1,1,0,1,0,1,1,0,0,1,1
220,0,0,1,0,1,1,0,0,0,1,0
221,0,1,0,0,1,0,0,0,1,1,1
222,1,1,0,0,0,0,0,0,1,1,1
223,0,0,0,0,1,1,0,0,0,1,0
224,0,1,0,0,1,1,1,0,0,1,0
225,1,0,1,0,1,0,0,0,0,1,0
226,1,1,0,1,0,1,1,0,1,0,1
227,1,1,1,0,0,1,1,0,0,0,1
228,0,1,1,0,0,1,1,1,1,0,1
229,1,1,0,0,0,0,0,0,1,1,1
230,0,1,0,0,0,1,1,1,0,1,1
231,1,1,1,0,1,0,0,1,1,1,1
232,0,1,0,1,0,1,0,1,0,0,1
233,1,0,0,1,1,1,1,1,1,0,1
234,0,0,1,1,0,1,1,0,1,0,0
235,0,1,1,1,1,0,1,1,0,1,1
236,1,1,0,1,0,1,1,0,0,1,1
237,0,0,0,0,1,1,0,0,1,0,1
